"","ID","X","Y","X.1","Y.1","distLS"
"25","X158_2016_Spring.X158_BB90",607409.503477773,5268734.71167889,607409.503478735,5268734.71155714,37133.2763275208
"26","X161_2015_Spring.X161_BB90",577794.818887731,5299082.84775553,577794.818888434,5299082.8476336,79291.2064711061
"27","X178_2015_Spring.X178_BB90",667694.367447695,5291616.67097645,667694.367449206,5291616.67085459,10637.0697818918
"28","X181_2016_Spring.X181_BB90",598642.067038958,5264765.06701221,598642.06703984,5264765.06689049,42091.0050344004
"29","X19_2013_Spring.X19_BB90",575757.333384934,5302771.84330384,575757.333385619,5302771.84318189,83216.2392839325
"30","X192_2015_Spring.X192_BB90",599875.812509274,5254338.34306104,599875.812510165,5254338.34293938,34274.3899704651
"31","X200_2015_Spring.X200_BB90",601165.665823219,5250714.43458502,601165.66582412,5250714.43446338,30931.2164647981
"32","X200_2016_Spring.X200_BB90",601894.597479203,5249817.14767437,601894.59748011,5249817.14755274,29799.2606210685
"33","X202_2016_Spring.X202_BB90",608180.127496102,5245410.91063021,608180.127497064,5245410.9105086,22147.5185225162
"34","X205_2015_Spring.X205_BB90",667786.249132602,5282342.76751686,667786.249134109,5282342.76739506,3398.77324469744
"35","X31_2013_Spring.X31_BB90",692184.735610371,5310303.50943651,692184.735612112,5310303.50931455,18105.5712928958
"36","X58_2013_Spring.X58_BB90",648441.106600147,5282617.1841692,648441.106601481,5282617.18404739,14582.5154356335
"37","X90_2013_Spring.X90_BB90",674121.872422468,5301908.19749156,674121.872424041,5301908.19736964,18991.6226253515
"38","X11_2013_Summer.X11_BB90",628191.778688412,5272735.30081159,628191.778689561,5272735.30068983,23852.6814737281
"39","X13_2013_Summer.X13_BB90",661141.223835621,5298366.72330891,661141.223837076,5298366.72318701,19550.626207427
"40","X15_2013_Summer.X15_BB90",628353.644487941,5272663.32596393,628353.644489091,5272663.32584217,23685.2571068134
"41","X151_2014_Summer.X151_BB90",685448.685278241,5301044.79287057,685448.685279916,5301044.79274865,13242.9348170617
"42","X156_2014_Summer.X156_BB90",600796.789991545,5251583.03842321,600796.789992443,5251583.03830157,31770.672218907
"43","X157_2016_Summer.X157_BB90",654742.221124025,5271916.58035391,654742.221125412,5271916.58023216,4261.01541126159
"44","X158_2016_Summer.X158_BB90",607510.810883137,5268092.86388423,607510.8108841,5268092.86376249,36640.2404680024
"45","X161_2015_Summer.X161_BB90",578208.45352999,5296517.36216287,578208.453530696,5296517.36204095,77368.8125431781
"46","X178_2014_Summer.X178_BB90",658801.720042885,5297374.04617659,658801.720044318,5297374.04605469,20045.1812586324
"47","X178_2015_Summer.X178_BB90",667693.581746101,5291416.11218286,667693.581747612,5291416.112061,10447.4412771214
"48","X181_2015_Summer.X181_BB90",593629.599998469,5263295.74896003,593629.599999306,5263295.74883832,44844.2644386923
"49","X181_2016_Summer.X181_BB90",598875.091320202,5264003.94121021,598875.091321086,5264003.94108849,41404.2988920188
"50","X19_2013_Summer.X19_BB90",575693.136580537,5300783.04442193,575693.136581222,5300783.04429998,81994.4703753249
"51","X192_2015_Summer.X192_BB90",601383.130892894,5252095.56594887,601383.130893797,5252095.56582722,31662.9822493816
"52","X200_2015_Summer.X200_BB90",601881.677471208,5250291.00437801,601881.677472116,5250291.00425638,30109.4589018727
"53","X202_2015_Summer.X202_BB90",608543.492486743,5245615.0587461,608543.492487709,5245615.0586245,22006.1112381499
"54","X205_2015_Summer.X205_BB90",680691.085185441,5287115.90682035,680691.085187067,5287115.90669852,3364.90385791449
"55","X31_2013_Summer.X31_BB90",691237.997354896,5310866.04297258,691237.997356629,5310866.04285061,19113.4818427632
"56","X58_2013_Summer.X58_BB90",649096.928347443,5282865.47653807,649096.928348784,5282865.47641625,14276.7674298951
